symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
NVDA,NVIDIA Corporation Common Stock,$178.10,0.46,0.259%,132539676,4327830000000.0,United States,1999,Semiconductors,Technology,/market-activity/stocks/nvda
AAPL,Apple Inc. Common Stock,$253.50,-5.36,-2.071%,62149790,3721668990000.0,United States,1980,Computer Manufacturing,Technology,/market-activity/stocks/aapl
GOOGL,Alphabet Inc. Class A Common Stock,$305.46,5.47,1.823%,23205597,3695149620000.0,United States,2004,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/googl
GOOG,Alphabet Inc. Class C Capital Stock,$303.93,6.27,2.106%,17319218,3676641210000.0,United States,2004,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/goog
MSFT,Microsoft Corporation Common Stock,$372.29,-0.59,-0.158%,21445396,2764487448704.0,United States,1986,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/msft
AMZN,Amazon.com Inc. Common Stock,$213.77,0.98,0.461%,28155844,2294804034380.0,United States,1997,Catalog/Specialty Distribution,Consumer Discretionary,/market-activity/stocks/amzn
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$345.32,3.56,1.042%,6823635,1791018288487.0,Taiwan,1997,Semiconductors,Technology,/market-activity/stocks/tsm
AVGO,Broadcom Inc. Common Stock,$333.97,19.54,6.214%,33311454,1581237133410.0,United States,2009,Semiconductors,Technology,/market-activity/stocks/avgo
META,Meta Platforms Inc. Class A Common Stock,$575.05,2.03,0.354%,9585758,1454620869573.0,United States,2012,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/meta
TSLA,Tesla Inc. Common Stock,$346.65,-6.17,-1.749%,74518744,1300780547254.0,United States,2010,Auto Manufacturing,Industrials,/market-activity/stocks/tsla
BRK/B,Berkshire Hathaway Inc.,$478.08,1.70,0.357%,3206476,1054793340248.0,United States,,,,/market-activity/stocks/brk/b
BRK/A,Berkshire Hathaway Inc.,$716880.00,380.00,0.053%,194,1054440153120.0,United States,,,,/market-activity/stocks/brk/a
WMT,Walmart Inc. Common Stock,$122.49,-4.30,-3.391%,16076373,976539582347.0,United States,,Department/Specialty Retail Stores,Consumer Discretionary,/market-activity/stocks/wmt
LLY,Eli Lilly and Company Common Stock,$931.09,4.03,0.435%,2727197,879711411910.0,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/lly
JPM,JP Morgan Chase & Co. Common Stock,$297.40,1.95,0.66%,7849110,802097428325.0,United States,,Major Banks,Finance,/market-activity/stocks/jpm
XOM,Exxon Mobil Corporation Common Stock,$163.91,0.54,0.331%,25229587,682974197581.0,United States,,Integrated oil Companies,Energy,/market-activity/stocks/xom
AZN,AstraZeneca PLC Ordinary Shares,$200.81,-2.02,-0.996%,2451172,622802523508.0,United Kingdom,2026,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/azn
V,Visa Inc.,$302.55,-0.78,-0.257%,4413898,579688615530.0,United States,,Real Estate,Real Estate,/market-activity/stocks/v
JNJ,Johnson & Johnson Common Stock,$238.41,-2.56,-1.062%,6241161,574237477542.0,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/jnj
ASML,ASML Holding N.V. New York Registry Shares,$1306.45,2.44,0.187%,1369330,503528908439.0,Netherlands,1995,Industrial Machinery/Components,Technology,/market-activity/stocks/asml
COST,Costco Wholesale Corporation Common Stock,$1013.21,-5.34,-0.524%,1428736,449513190053.0,United States,,Department/Specialty Retail Stores,Consumer Discretionary,/market-activity/stocks/cost
MA,Mastercard Incorporated Common Stock,$498.28,-3.22,-0.642%,3593174,444372238325.0,United States,2006,Real Estate,Real Estate,/market-activity/stocks/ma
